"","X","State","Row.ID","Order.ID","Order_Date","Ship.Date","Ship_Mode","Customer.ID","Customer_Name","Segment","City","Region","Product_ID","Category","Sub_Category","Sales","Quantity","Discount","Profit","Latitude","Longitude","code"
"13",13,"Alabama",3448,"CA-2017-102554",2017-06-11,"6/15/2017","Standard Class","KN-16705","Kristina Nunn","Home Office","Auburn","South","OFF-AR-10001919","Office Supplies","Art",3.76,2,0,1.0904,32.6010112,-86.6807365,1
"14",14,"Alabama",8338,"CA-2014-153087",2014-12-27,"1/3/2015","Standard Class","TC-20980","Tamara Chand","Corporate","Decatur","South","OFF-PA-10001243","Office Supplies","Paper",23.92,4,0,11.7208,32.6010112,-86.6807365,1
"15",15,"Alabama",4924,"CA-2017-114055",2017-12-25,"12/29/2017","Second Class","MH-18115","Mick Hernandez","Home Office","Huntsville","South","OFF-PA-10000994","Office Supplies","Paper",629.1,6,0,301.968,32.6010112,-86.6807365,1
"16",16,"Alabama",3268,"CA-2014-143840",2014-05-22,"5/29/2014","Standard Class","EH-14185","Evan Henry","Consumer","Decatur","South","TEC-PH-10002660","Technology","Phones",135.98,2,0,33.995,32.6010112,-86.6807365,1
"17",17,"Alabama",6825,"CA-2015-154291",2015-07-25,"7/29/2015","Standard Class","YS-21880","Yana Sorensen","Corporate","Montgomery","South","FUR-TA-10002041","Furniture","Tables",358.58,2,0,39.4438,32.6010112,-86.6807365,1
"18",18,"Alabama",2187,"CA-2016-101378",2016-07-14,"7/14/2016","Same Day","RH-19600","Rob Haberlin","Consumer","Huntsville","South","TEC-AC-10002345","Technology","Accessories",29,2,0,7.25,32.6010112,-86.6807365,1
"19",19,"Alabama",1455,"CA-2016-133711",2016-11-26,"11/29/2016","First Class","MC-17425","Mark Cousins","Corporate","Mobile","South","TEC-MA-10000010","Technology","Machines",3040,8,0,1459.2,32.6010112,-86.6807365,1
"20",20,"Alabama",2740,"CA-2017-122707",2017-04-16,"4/18/2017","First Class","EB-13750","Edward Becker","Corporate","Hoover","South","OFF-SU-10000157","Office Supplies","Supplies",477.24,4,0,9.5448,32.6010112,-86.6807365,1
"21",21,"Alabama",535,"CA-2016-168753",2016-05-29,"6/1/2016","Second Class","RL-19615","Rob Lucas","Consumer","Montgomery","South","OFF-BI-10002557","Office Supplies","Binders",22.75,5,0,11.375,32.6010112,-86.6807365,1
"22",22,"Alabama",1977,"CA-2014-110408",2014-10-18,"10/20/2014","Second Class","AS-10225","Alan Schoenberger","Corporate","Montgomery","South","TEC-PH-10002352","Technology","Phones",1394.95,5,0,362.687,32.6010112,-86.6807365,1
"23",23,"Alabama",4923,"CA-2017-114055",2017-12-25,"12/29/2017","Second Class","MH-18115","Mick Hernandez","Home Office","Huntsville","South","OFF-FA-10003059","Office Supplies","Fasteners",3.62,2,0,1.1946,32.6010112,-86.6807365,1
"24",24,"Alabama",9670,"CA-2017-145275",2017-04-02,"4/6/2017","Standard Class","AH-10465","Amy Hunt","Consumer","Decatur","South","OFF-LA-10001569","Office Supplies","Labels",14.94,3,0,6.8724,32.6010112,-86.6807365,1
"25",25,"Alabama",2834,"CA-2017-134649",2017-01-26,"1/31/2017","Second Class","CA-11965","Carol Adams","Corporate","Hoover","South","OFF-AR-10001547","Office Supplies","Art",15.47,7,0,4.1769,32.6010112,-86.6807365,1
"26",26,"Alabama",4922,"CA-2017-114055",2017-12-25,"12/29/2017","Second Class","MH-18115","Mick Hernandez","Home Office","Huntsville","South","OFF-PA-10004381","Office Supplies","Paper",96.08,2,0,46.1184,32.6010112,-86.6807365,1
"27",27,"Alabama",3817,"CA-2015-102582",2015-09-15,"9/19/2015","Standard Class","NW-18400","Natalie Webber","Consumer","Mobile","South","FUR-TA-10003569","Furniture","Tables",801.96,2,0,200.49,32.6010112,-86.6807365,1
"28",28,"Alabama",4925,"CA-2017-114055",2017-12-25,"12/29/2017","Second Class","MH-18115","Mick Hernandez","Home Office","Huntsville","South","TEC-PH-10002890","Technology","Phones",90.48,2,0,23.5248,32.6010112,-86.6807365,1
"29",29,"Alabama",534,"CA-2016-168753",2016-05-29,"6/1/2016","Second Class","RL-19615","Rob Lucas","Consumer","Montgomery","South","TEC-PH-10000984","Technology","Phones",979.95,5,0,274.386,32.6010112,-86.6807365,1
"30",30,"Alabama",2835,"CA-2017-134649",2017-01-26,"1/31/2017","Second Class","CA-11965","Carol Adams","Corporate","Hoover","South","OFF-BI-10001890","Office Supplies","Binders",7.16,2,0,3.4368,32.6010112,-86.6807365,1
"31",31,"Alabama",8343,"CA-2016-132549",2016-11-25,"11/30/2016","Standard Class","JK-15370","Jay Kimmel","Consumer","Huntsville","South","OFF-ST-10001325","Office Supplies","Storage",73.36,7,0,19.8072,32.6010112,-86.6807365,1
"32",32,"Alabama",6824,"CA-2015-154291",2015-07-25,"7/29/2015","Standard Class","YS-21880","Yana Sorensen","Corporate","Montgomery","South","OFF-EN-10001335","Office Supplies","Envelopes",98.46,9,0,49.23,32.6010112,-86.6807365,1
"33",33,"Alabama",1453,"CA-2016-133711",2016-11-26,"11/29/2016","First Class","MC-17425","Mark Cousins","Corporate","Mobile","South","OFF-BI-10000666","Office Supplies","Binders",91.68,3,0,45.84,32.6010112,-86.6807365,1
"34",34,"Alabama",6923,"CA-2015-134257",2015-03-16,"3/19/2015","Second Class","MS-17710","Maurice Satty","Consumer","Auburn","South","OFF-LA-10003930","Office Supplies","Labels",491.55,5,0,240.8595,32.6010112,-86.6807365,1
"35",35,"Alabama",1433,"CA-2014-120768",2014-12-19,"12/21/2014","Second Class","IM-15070","Irene Maddox","Consumer","Florence","South","OFF-SU-10004115","Office Supplies","Supplies",7.27,1,0,1.9629,32.6010112,-86.6807365,1
"36",36,"Alabama",8339,"CA-2014-153087",2014-12-27,"1/3/2015","Standard Class","TC-20980","Tamara Chand","Corporate","Decatur","South","TEC-AC-10003198","Technology","Accessories",498,5,0,184.26,32.6010112,-86.6807365,1
"37",37,"Alabama",3705,"CA-2015-104941",2015-06-13,"6/19/2015","Standard Class","DH-13075","Dave Hallsten","Corporate","Decatur","South","TEC-CO-10004202","Technology","Copiers",899.97,3,0,314.9895,32.6010112,-86.6807365,1
"38",38,"Alabama",3704,"CA-2015-104941",2015-06-13,"6/19/2015","Standard Class","DH-13075","Dave Hallsten","Corporate","Decatur","South","OFF-BI-10001249","Office Supplies","Binders",19.14,3,0,8.8044,32.6010112,-86.6807365,1
"39",39,"Alabama",7654,"CA-2015-121552",2015-03-22,"3/27/2015","Standard Class","FW-14395","Fred Wasserman","Corporate","Huntsville","South","OFF-AR-10003217","Office Supplies","Art",19.56,4,0,5.4768,32.6010112,-86.6807365,1
"40",40,"Alabama",3703,"CA-2015-104941",2015-06-13,"6/19/2015","Standard Class","DH-13075","Dave Hallsten","Corporate","Decatur","South","OFF-AR-10004269","Office Supplies","Art",24.78,6,0,6.9384,32.6010112,-86.6807365,1
"41",41,"Alabama",1978,"CA-2014-110408",2014-10-18,"10/20/2014","Second Class","AS-10225","Alan Schoenberger","Corporate","Montgomery","South","FUR-CH-10003774","Furniture","Chairs",545.88,6,0,70.9644,32.6010112,-86.6807365,1
"42",42,"Alabama",3482,"CA-2014-124023",2014-04-07,"4/10/2014","First Class","PJ-19015","Pauline Johnson","Consumer","Mobile","South","FUR-FU-10004415","Furniture","Furnishings",8.96,2,0,2.7776,32.6010112,-86.6807365,1
"43",43,"Alabama",1976,"CA-2014-110408",2014-10-18,"10/20/2014","Second Class","AS-10225","Alan Schoenberger","Corporate","Montgomery","South","OFF-ST-10001522","Office Supplies","Storage",275.97,3,0,11.0388,32.6010112,-86.6807365,1
"44",44,"Alabama",81,"CA-2016-127208",2016-06-12,"6/15/2016","First Class","SC-20770","Stewart Carmichael","Corporate","Decatur","South","OFF-BI-10002309","Office Supplies","Binders",16.74,3,0,8.0352,32.6010112,-86.6807365,1
"45",45,"Alabama",1432,"CA-2014-120768",2014-12-19,"12/21/2014","Second Class","IM-15070","Irene Maddox","Consumer","Florence","South","OFF-BI-10001191","Office Supplies","Binders",152.76,6,0,74.8524,32.6010112,-86.6807365,1
"46",46,"Alabama",7151,"CA-2017-100412",2017-12-22,"12/26/2017","Standard Class","SR-20425","Sharelle Roach","Home Office","Tuscaloosa","South","FUR-CH-10002647","Furniture","Chairs",141.96,2,0,35.49,32.6010112,-86.6807365,1
"47",47,"Alabama",3819,"CA-2015-102582",2015-09-15,"9/19/2015","Standard Class","NW-18400","Natalie Webber","Consumer","Mobile","South","FUR-CH-10004853","Furniture","Chairs",1056.86,7,0,306.4894,32.6010112,-86.6807365,1
"48",48,"Alabama",9490,"US-2016-102232",2016-08-05,"8/11/2016","Standard Class","MF-17665","Maureen Fritzler","Corporate","Huntsville","South","OFF-AR-10000538","Office Supplies","Art",197.05,7,0,59.115,32.6010112,-86.6807365,1
"49",49,"Alabama",3818,"CA-2015-102582",2015-09-15,"9/19/2015","Standard Class","NW-18400","Natalie Webber","Consumer","Mobile","South","TEC-PH-10003187","Technology","Phones",59.97,3,0,0,32.6010112,-86.6807365,1
"50",50,"Alabama",5927,"US-2014-118997",2014-04-08,"4/12/2014","Standard Class","RA-19885","Ruben Ausman","Corporate","Decatur","South","FUR-TA-10001086","Furniture","Tables",1215.92,8,0,316.1392,32.6010112,-86.6807365,1
"51",51,"Alabama",1454,"CA-2016-133711",2016-11-26,"11/29/2016","First Class","MC-17425","Mark Cousins","Corporate","Mobile","South","OFF-BI-10004352","Office Supplies","Binders",33.75,5,0,16.875,32.6010112,-86.6807365,1
"52",52,"Alabama",3502,"CA-2016-108616",2016-09-29,"10/3/2016","Standard Class","JK-15730","Joe Kamberova","Consumer","Mobile","South","OFF-AR-10001149","Office Supplies","Art",25.92,9,0,7.776,32.6010112,-86.6807365,1
"53",53,"Alabama",5556,"CA-2017-116113",2017-10-02,"10/6/2017","Second Class","JW-15220","Jane Waco","Corporate","Montgomery","South","FUR-FU-10002963","Furniture","Furnishings",10.16,2,0,3.4544,32.6010112,-86.6807365,1
"54",54,"Alabama",1434,"CA-2014-120768",2014-12-19,"12/21/2014","Second Class","IM-15070","Irene Maddox","Consumer","Florence","South","FUR-CH-10000513","Furniture","Chairs",1819.86,14,0,163.7874,32.6010112,-86.6807365,1
"55",55,"Alabama",1452,"CA-2016-133711",2016-11-26,"11/29/2016","First Class","MC-17425","Mark Cousins","Corporate","Mobile","South","OFF-PA-10001685","Office Supplies","Paper",70.98,7,0,34.7802,32.6010112,-86.6807365,1
"56",56,"Alabama",8554,"US-2017-102904",2017-11-13,"11/20/2017","Standard Class","CB-12025","Cassandra Brandow","Consumer","Decatur","South","TEC-AC-10000927","Technology","Accessories",239.92,8,0,23.992,32.6010112,-86.6807365,1
"57",57,"Alabama",2198,"CA-2014-163013",2014-11-28,"12/4/2014","Standard Class","BF-11080","Bart Folk","Consumer","Montgomery","South","OFF-AR-10001954","Office Supplies","Art",14.67,3,0,3.9609,32.6010112,-86.6807365,1
"58",58,"Alabama",5517,"US-2016-138408",2016-11-18,"11/21/2016","Second Class","KC-16255","Karen Carlisle","Corporate","Huntsville","South","TEC-AC-10003870","Technology","Accessories",1319.96,4,0,527.984,32.6010112,-86.6807365,1
"59",59,"Alabama",3501,"CA-2016-108616",2016-09-29,"10/3/2016","Standard Class","JK-15730","Joe Kamberova","Consumer","Mobile","South","OFF-BI-10001989","Office Supplies","Binders",62.94,3,0,30.2112,32.6010112,-86.6807365,1
"60",60,"Alabama",1270,"CA-2017-100426",2017-06-04,"6/8/2017","Standard Class","DC-12850","Dan Campbell","Consumer","Florence","South","OFF-PA-10002870","Office Supplies","Paper",12.48,2,0,5.616,32.6010112,-86.6807365,1
"61",61,"Alabama",3500,"CA-2016-108616",2016-09-29,"10/3/2016","Standard Class","JK-15730","Joe Kamberova","Consumer","Mobile","South","TEC-AC-10000420","Technology","Accessories",209.97,3,0,71.3898,32.6010112,-86.6807365,1
"62",62,"Arizona",1365,"US-2017-155425",2017-11-10,"11/11/2017","First Class","AB-10600","Ann Blume","Corporate","Tucson","West","TEC-MA-10003183","Technology","Machines",95.994,2,0.7,-63.996,34.1682185,-111.930907,4
"63",63,"Arizona",1366,"US-2017-155425",2017-11-10,"11/11/2017","First Class","AB-10600","Ann Blume","Corporate","Tucson","West","TEC-AC-10001314","Technology","Accessories",239.952,6,0.2,-35.9928,34.1682185,-111.930907,4
"64",64,"Arizona",1523,"CA-2015-144806",2015-12-06,"12/11/2015","Standard Class","GH-14425","Gary Hwang","Consumer","Tucson","West","OFF-PA-10002586","Office Supplies","Paper",19.92,5,0.2,6.723,34.1682185,-111.930907,4
"65",65,"Arizona",1410,"US-2016-122245",2016-09-25,"9/30/2016","Standard Class","AB-10105","Adrian Barton","Consumer","Phoenix","West","FUR-TA-10002356","Furniture","Tables",393.165,3,0.5,-204.4458,34.1682185,-111.930907,4
"66",66,"Arizona",8814,"CA-2015-127754",2015-07-26,"7/31/2015","Standard Class","CK-12760","Cyma Kinney","Corporate","Glendale","West","FUR-CH-10003199","Furniture","Chairs",266.352,3,0.2,13.3176,34.1682185,-111.930907,4
"67",67,"Arizona",68,"CA-2014-106376",2014-12-05,"12/10/2014","Standard Class","BS-11590","Brendan Sweed","Corporate","Gilbert","West","OFF-AR-10002671","Office Supplies","Art",1113.024,8,0.2,111.3024,34.1682185,-111.930907,4
"68",68,"Arizona",5978,"CA-2017-116953",2017-04-24,"4/25/2017","First Class","SV-20935","Susan Vittorini","Consumer","Mesa","West","TEC-PH-10004614","Technology","Phones",552,10,0.2,34.5,34.1682185,-111.930907,4
"69",69,"Arizona",3916,"US-2017-142573",2017-07-18,"7/23/2017","Standard Class","ML-17410","Maris LaWare","Consumer","Phoenix","West","FUR-CH-10004218","Furniture","Chairs",161.568,2,0.2,10.098,34.1682185,-111.930907,4
"70",70,"Arizona",3917,"US-2017-142573",2017-07-18,"7/23/2017","Standard Class","ML-17410","Maris LaWare","Consumer","Phoenix","West","OFF-PA-10000246","Office Supplies","Paper",16.096,2,0.2,5.2312,34.1682185,-111.930907,4
"71",71,"Arizona",1524,"CA-2015-144806",2015-12-06,"12/11/2015","Standard Class","GH-14425","Gary Hwang","Consumer","Tucson","West","OFF-PA-10003039","Office Supplies","Paper",198.272,8,0.2,61.96,34.1682185,-111.930907,4
"72",72,"Arizona",1007,"CA-2015-105312",2015-11-06,"11/9/2015","First Class","MT-17815","Meg Tillman","Consumer","Scottsdale","West","OFF-EN-10002600","Office Supplies","Envelopes",7.08,3,0.2,2.478,34.1682185,-111.930907,4
"73",73,"Arizona",3918,"US-2017-142573",2017-07-18,"7/23/2017","Standard Class","ML-17410","Maris LaWare","Consumer","Phoenix","West","OFF-BI-10003350","Office Supplies","Binders",7.656,4,0.7,-6.1248,34.1682185,-111.930907,4
"74",74,"Arizona",3156,"CA-2014-128986",2014-08-03,"8/5/2014","Second Class","GH-14410","Gary Hansen","Home Office","Glendale","West","OFF-PA-10001289","Office Supplies","Paper",93.024,3,0.2,33.7212,34.1682185,-111.930907,4
"75",75,"Arizona",3836,"CA-2014-100363",2014-04-08,"4/15/2014","Standard Class","JM-15655","Jim Mitchum","Corporate","Glendale","West","OFF-FA-10000611","Office Supplies","Fasteners",2.368,2,0.2,0.8288,34.1682185,-111.930907,4
"76",76,"Arizona",6381,"US-2014-163797",2014-04-08,"4/13/2014","Standard Class","PC-19000","Pauline Chand","Home Office","Chandler","West","OFF-FA-10001883","Office Supplies","Fasteners",49.792,8,0.2,-11.8256,34.1682185,-111.930907,4
"77",77,"Arizona",7208,"CA-2016-143476",2016-09-11,"9/13/2016","First Class","LC-16930","Linda Cazamias","Corporate","Phoenix","West","OFF-AR-10003759","Office Supplies","Art",2.912,2,0.2,0.91,34.1682185,-111.930907,4
"78",78,"Arizona",2955,"CA-2017-134915",2017-11-12,"11/12/2017","Same Day","EM-14140","Eugene Moren","Home Office","Glendale","West","TEC-PH-10001459","Technology","Phones",671.984,2,0.2,50.3988,34.1682185,-111.930907,4
"79",79,"Arizona",1364,"US-2017-155425",2017-11-10,"11/11/2017","First Class","AB-10600","Ann Blume","Corporate","Tucson","West","OFF-BI-10001036","Office Supplies","Binders",38.388,14,0.7,-25.592,34.1682185,-111.930907,4
"80",80,"Arizona",3915,"US-2017-142573",2017-07-18,"7/23/2017","Standard Class","ML-17410","Maris LaWare","Consumer","Phoenix","West","FUR-TA-10001932","Furniture","Tables",801.6,5,0.5,-448.896,34.1682185,-111.930907,4
"81",81,"Arizona",3228,"CA-2014-108189",2014-10-02,"10/5/2014","First Class","ES-14080","Erin Smith","Corporate","Tempe","West","TEC-PH-10001557","Technology","Phones",230.376,3,0.2,20.1579,34.1682185,-111.930907,4
"82",82,"Arizona",3224,"CA-2014-108189",2014-10-02,"10/5/2014","First Class","ES-14080","Erin Smith","Corporate","Tempe","West","OFF-FA-10000735","Office Supplies","Fasteners",4.672,2,0.2,1.46,34.1682185,-111.930907,4
"83",83,"Arizona",3226,"CA-2014-108189",2014-10-02,"10/5/2014","First Class","ES-14080","Erin Smith","Corporate","Tempe","West","OFF-EN-10004846","Office Supplies","Envelopes",12.768,6,0.2,4.6284,34.1682185,-111.930907,4
"84",84,"Arizona",9152,"US-2015-106873",2015-09-24,"9/29/2015","Second Class","KM-16720","Kunst Miller","Consumer","Avondale","West","OFF-AR-10003179","Office Supplies","Art",14.576,2,0.2,2.3686,34.1682185,-111.930907,4
"85",85,"Arizona",8787,"CA-2017-145765",2017-05-28,"6/2/2017","Standard Class","CM-11815","Candace McMahon","Corporate","Phoenix","West","OFF-PA-10001534","Office Supplies","Paper",15.552,3,0.2,5.4432,34.1682185,-111.930907,4
"86",86,"Arizona",1367,"US-2017-155425",2017-11-10,"11/11/2017","First Class","AB-10600","Ann Blume","Corporate","Tucson","West","TEC-PH-10002563","Technology","Phones",201.584,2,0.2,15.1188,34.1682185,-111.930907,4
"87",87,"Arizona",9153,"US-2015-106873",2015-09-24,"9/29/2015","Second Class","KM-16720","Kunst Miller","Consumer","Avondale","West","TEC-AC-10002345","Technology","Accessories",23.2,2,0.2,1.45,34.1682185,-111.930907,4
"88",88,"Arizona",1522,"CA-2015-144806",2015-12-06,"12/11/2015","Standard Class","GH-14425","Gary Hwang","Consumer","Tucson","West","FUR-FU-10002253","Furniture","Furnishings",206.112,6,0.2,48.9516,34.1682185,-111.930907,4
"89",89,"Arizona",1420,"CA-2015-124800",2015-09-26,"9/30/2015","Standard Class","RW-19540","Rick Wilson","Corporate","Mesa","West","OFF-PA-10000501","Office Supplies","Paper",86.272,4,0.2,31.2736,34.1682185,-111.930907,4
"90",90,"Arizona",5545,"CA-2016-134936",2016-12-19,"12/25/2016","Standard Class","ES-14080","Erin Smith","Corporate","Tucson","West","OFF-BI-10002103","Office Supplies","Binders",5.214,2,0.7,-4.1712,34.1682185,-111.930907,4
"91",91,"Arizona",3882,"CA-2015-129896",2015-06-15,"6/20/2015","Standard Class","PF-19120","Peter Fuller","Consumer","Gilbert","West","OFF-ST-10004804","Office Supplies","Storage",82.368,2,0.2,-19.5624,34.1682185,-111.930907,4
"92",92,"Arizona",4772,"US-2014-167262",2014-10-31,"11/3/2014","Second Class","AC-10450","Amy Cox","Consumer","Avondale","West","TEC-PH-10000486","Technology","Phones",742.336,8,0.2,83.5128,34.1682185,-111.930907,4
"93",93,"Arizona",8088,"CA-2016-106621",2016-09-29,"10/1/2016","Second Class","DM-12955","Dario Medina","Corporate","Yuma","West","OFF-AR-10002375","Office Supplies","Art",10.496,4,0.2,1.1808,34.1682185,-111.930907,4
"94",94,"Arizona",9412,"CA-2016-108959",2016-03-10,"3/14/2016","Second Class","MH-17785","Maya Herman","Corporate","Glendale","West","OFF-ST-10001272","Office Supplies","Storage",104.696,1,0.2,6.5435,34.1682185,-111.930907,4
"95",95,"Arizona",152,"CA-2016-158834",2016-03-13,"3/16/2016","First Class","TW-21025","Tamara Willingham","Home Office","Scottsdale","West","OFF-AP-10000326","Office Supplies","Appliances",157.92,5,0.2,17.766,34.1682185,-111.930907,4
"96",96,"Arizona",5466,"CA-2014-146591",2014-01-19,"1/20/2014","First Class","TS-21340","Toby Swindell","Consumer","Scottsdale","West","FUR-BO-10001972","Furniture","Bookcases",181.47,5,0.7,-320.597,34.1682185,-111.930907,4
"97",97,"Arizona",4565,"CA-2014-101175",2014-12-09,"12/14/2014","Standard Class","DM-12955","Dario Medina","Corporate","Mesa","West","OFF-ST-10004950","Office Supplies","Storage",100.704,6,0.2,-1.2588,34.1682185,-111.930907,4
"98",98,"Arizona",3223,"CA-2014-108189",2014-10-02,"10/5/2014","First Class","ES-14080","Erin Smith","Corporate","Tempe","West","OFF-PA-10001838","Office Supplies","Paper",9.408,2,0.2,3.4104,34.1682185,-111.930907,4
"99",99,"Arizona",3227,"CA-2014-108189",2014-10-02,"10/5/2014","First Class","ES-14080","Erin Smith","Corporate","Tempe","West","OFF-SU-10003567","Office Supplies","Supplies",15.36,2,0.2,-3.264,34.1682185,-111.930907,4
"100",100,"Arizona",6802,"CA-2016-109827",2016-12-25,"1/1/2017","Standard Class","LW-16825","Laurel Workman","Corporate","Phoenix","West","TEC-AC-10002217","Technology","Accessories",45.12,3,0.2,-7.896,34.1682185,-111.930907,4
"101",101,"Arizona",2954,"CA-2017-134915",2017-11-12,"11/12/2017","Same Day","EM-14140","Eugene Moren","Home Office","Glendale","West","TEC-PH-10000347","Technology","Phones",7.92,2,0.2,0.693,34.1682185,-111.930907,4
"102",102,"Arizona",8623,"US-2016-114230",2016-11-27,"12/1/2016","Standard Class","CM-12235","Chris McAfee","Consumer","Phoenix","West","OFF-ST-10000876","Office Supplies","Storage",39.808,4,0.2,3.9808,34.1682185,-111.930907,4
"103",103,"Arizona",1423,"CA-2015-124800",2015-09-26,"9/30/2015","Standard Class","RW-19540","Rick Wilson","Corporate","Mesa","West","OFF-BI-10003984","Office Supplies","Binders",77.031,9,0.7,-59.0571,34.1682185,-111.930907,4
"104",104,"Arizona",2103,"CA-2014-123295",2014-07-18,"7/18/2014","Same Day","AH-10120","Adrian Hane","Home Office","Tucson","West","FUR-CH-10002372","Furniture","Chairs",259.136,4,0.2,-25.9136,34.1682185,-111.930907,4
"105",105,"Arizona",153,"CA-2016-158834",2016-03-13,"3/16/2016","First Class","TW-21025","Tamara Willingham","Home Office","Scottsdale","West","TEC-PH-10001254","Technology","Phones",203.184,2,0.2,15.2388,34.1682185,-111.930907,4
"106",106,"Arizona",2951,"CA-2017-134915",2017-11-12,"11/12/2017","Same Day","EM-14140","Eugene Moren","Home Office","Glendale","West","OFF-PA-10002160","Office Supplies","Paper",23.12,5,0.2,8.381,34.1682185,-111.930907,4
"107",107,"Arizona",7357,"CA-2016-114748",2016-10-09,"10/14/2016","Standard Class","MZ-17335","Maria Zettner","Home Office","Phoenix","West","OFF-AR-10001315","Office Supplies","Art",1.408,1,0.2,0.1584,34.1682185,-111.930907,4
"108",108,"Arizona",9541,"CA-2015-135727",2015-05-11,"5/16/2015","Second Class","PS-18970","Paul Stevenson","Home Office","Phoenix","West","FUR-CH-10004540","Furniture","Chairs",191.968,7,0.2,16.7972,34.1682185,-111.930907,4
"109",109,"Arizona",1525,"CA-2015-144806",2015-12-06,"12/11/2015","Standard Class","GH-14425","Gary Hwang","Consumer","Tucson","West","OFF-ST-10004804","Office Supplies","Storage",247.104,6,0.2,-58.6872,34.1682185,-111.930907,4
"110",110,"Arizona",3724,"US-2014-169789",2014-12-30,"1/4/2015","Standard Class","MF-17665","Maureen Fritzler","Corporate","Phoenix","West","OFF-BI-10004600","Office Supplies","Binders",551.985,5,0.7,-459.9875,34.1682185,-111.930907,4
"111",111,"Arizona",9232,"CA-2014-148383",2014-12-27,"12/31/2014","Standard Class","RP-19390","Resi Pölking","Consumer","Phoenix","West","OFF-BI-10003650","Office Supplies","Binders",946.764,6,0.7,-694.2936,34.1682185,-111.930907,4
"112",112,"Arizona",2953,"CA-2017-134915",2017-11-12,"11/12/2017","Same Day","EM-14140","Eugene Moren","Home Office","Glendale","West","FUR-FU-10000305","Furniture","Furnishings",113.568,2,0.2,-5.6784,34.1682185,-111.930907,4
"113",113,"Arizona",3225,"CA-2014-108189",2014-10-02,"10/5/2014","First Class","ES-14080","Erin Smith","Corporate","Tempe","West","TEC-PH-10001760","Technology","Phones",318.4,2,0.2,107.46,34.1682185,-111.930907,4
"114",114,"Arizona",5464,"CA-2014-146591",2014-01-19,"1/20/2014","First Class","TS-21340","Toby Swindell","Consumer","Scottsdale","West","OFF-PA-10000659","Office Supplies","Paper",56.064,4,0.2,19.6224,34.1682185,-111.930907,4
