"","Row.ID","Order.ID","Order.Date","Ship.Date","Ship.Mode","Customer.ID","Customer.Name","Segment","City","State","Region","Product.ID","Category","Sub.Category","Sales","Quantity","Discount","Profit","Code"
"13",13,"CA-2017-114412","4/15/2017","4/20/2017","Standard Class","AA-10480","Andrew Allen","Consumer","Concord","North Carolina","South","OFF-PA-10002365","Office Supplies","Paper",15.552,3,0.2,5.4432,37
"14",14,"CA-2016-161389","12/5/2016","12/10/2016","Standard Class","IM-15070","Irene Maddox","Consumer","Seattle","Washington","West","OFF-BI-10003656","Office Supplies","Binders",407.976,3,0.2,132.5922,53
"15",15,"US-2015-118983","11/22/2015","11/26/2015","Standard Class","HP-14815","Harold Pawlan","Home Office","Fort Worth","Texas","Central","OFF-AP-10002311","Office Supplies","Appliances",68.81,5,0.8,-123.858,48
"16",16,"US-2015-118983","11/22/2015","11/26/2015","Standard Class","HP-14815","Harold Pawlan","Home Office","Fort Worth","Texas","Central","OFF-BI-10000756","Office Supplies","Binders",2.544,3,0.8,-3.816,48
"17",17,"CA-2014-105893","11/11/2014","11/18/2014","Standard Class","PK-19075","Pete Kriz","Consumer","Madison","Wisconsin","Central","OFF-ST-10004186","Office Supplies","Storage",665.88,6,0,13.3176,55
"18",18,"CA-2014-167164","5/13/2014","5/15/2014","Second Class","AG-10270","Alejandro Grove","Consumer","West Jordan","Utah","West","OFF-ST-10000107","Office Supplies","Storage",55.5,2,0,9.99,49
"19",19,"CA-2014-143336","8/27/2014","9/1/2014","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","San Francisco","California","West","OFF-AR-10003056","Office Supplies","Art",8.56,2,0,2.4824,6
"20",20,"CA-2014-143336","8/27/2014","9/1/2014","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","San Francisco","California","West","TEC-PH-10001949","Technology","Phones",213.48,3,0.2,16.011,6
"21",21,"CA-2014-143336","8/27/2014","9/1/2014","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","San Francisco","California","West","OFF-BI-10002215","Office Supplies","Binders",22.72,4,0.2,7.384,6
"22",22,"CA-2016-137330","12/9/2016","12/13/2016","Standard Class","KB-16585","Ken Black","Corporate","Fremont","Nebraska","Central","OFF-AR-10000246","Office Supplies","Art",19.46,7,0,5.0596,31
"23",23,"CA-2016-137330","12/9/2016","12/13/2016","Standard Class","KB-16585","Ken Black","Corporate","Fremont","Nebraska","Central","OFF-AP-10001492","Office Supplies","Appliances",60.34,7,0,15.6884,31
"24",24,"US-2017-156909","7/16/2017","7/18/2017","Second Class","SF-20065","Sandra Flanagan","Consumer","Philadelphia","Pennsylvania","East","FUR-CH-10002774","Furniture","Chairs",71.372,2,0.3,-1.0196,42
"25",25,"CA-2015-106320","9/25/2015","9/30/2015","Standard Class","EB-13870","Emily Burns","Consumer","Orem","Utah","West","FUR-TA-10000577","Furniture","Tables",1044.63,3,0,240.2649,49
"26",26,"CA-2016-121755","1/16/2016","1/20/2016","Second Class","EH-13945","Eric Hoffmann","Consumer","Los Angeles","California","West","OFF-BI-10001634","Office Supplies","Binders",11.648,2,0.2,4.2224,6
"27",27,"CA-2016-121755","1/16/2016","1/20/2016","Second Class","EH-13945","Eric Hoffmann","Consumer","Los Angeles","California","West","TEC-AC-10003027","Technology","Accessories",90.57,3,0,11.7741,6
"28",28,"US-2015-150630","9/17/2015","9/21/2015","Standard Class","TB-21520","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","East","FUR-BO-10004834","Furniture","Bookcases",3083.43,7,0.5,-1665.0522,42
"29",29,"US-2015-150630","9/17/2015","9/21/2015","Standard Class","TB-21520","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","East","OFF-BI-10000474","Office Supplies","Binders",9.618,2,0.7,-7.0532,42
"30",30,"US-2015-150630","9/17/2015","9/21/2015","Standard Class","TB-21520","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","East","FUR-FU-10004848","Furniture","Furnishings",124.2,3,0.2,15.525,42
"31",31,"US-2015-150630","9/17/2015","9/21/2015","Standard Class","TB-21520","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","East","OFF-EN-10001509","Office Supplies","Envelopes",3.264,2,0.2,1.1016,42
"32",32,"US-2015-150630","9/17/2015","9/21/2015","Standard Class","TB-21520","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","East","OFF-AR-10004042","Office Supplies","Art",86.304,6,0.2,9.7092,42
"33",33,"US-2015-150630","9/17/2015","9/21/2015","Standard Class","TB-21520","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","East","OFF-BI-10001525","Office Supplies","Binders",6.858,6,0.7,-5.715,42
"34",34,"US-2015-150630","9/17/2015","9/21/2015","Standard Class","TB-21520","Tracy Blumstein","Consumer","Philadelphia","Pennsylvania","East","OFF-AR-10001683","Office Supplies","Art",15.76,2,0.2,3.546,42
"35",35,"CA-2017-107727","10/19/2017","10/23/2017","Second Class","MA-17560","Matt Abelman","Home Office","Houston","Texas","Central","OFF-PA-10000249","Office Supplies","Paper",29.472,3,0.2,9.9468,48
"36",36,"CA-2016-117590","12/8/2016","12/10/2016","First Class","GH-14485","Gene Hale","Corporate","Richardson","Texas","Central","TEC-PH-10004977","Technology","Phones",1097.544,7,0.2,123.4737,48
"37",37,"CA-2016-117590","12/8/2016","12/10/2016","First Class","GH-14485","Gene Hale","Corporate","Richardson","Texas","Central","FUR-FU-10003664","Furniture","Furnishings",190.92,5,0.6,-147.963,48
"38",38,"CA-2015-117415","12/27/2015","12/31/2015","Standard Class","SN-20710","Steve Nguyen","Home Office","Houston","Texas","Central","OFF-EN-10002986","Office Supplies","Envelopes",113.328,9,0.2,35.415,48
"39",39,"CA-2015-117415","12/27/2015","12/31/2015","Standard Class","SN-20710","Steve Nguyen","Home Office","Houston","Texas","Central","FUR-BO-10002545","Furniture","Bookcases",532.3992,3,0.32,-46.9764,48
"40",40,"CA-2015-117415","12/27/2015","12/31/2015","Standard Class","SN-20710","Steve Nguyen","Home Office","Houston","Texas","Central","FUR-CH-10004218","Furniture","Chairs",212.058,3,0.3,-15.147,48
"41",41,"CA-2015-117415","12/27/2015","12/31/2015","Standard Class","SN-20710","Steve Nguyen","Home Office","Houston","Texas","Central","TEC-PH-10000486","Technology","Phones",371.168,4,0.2,41.7564,48
"42",42,"CA-2017-120999","9/10/2017","9/15/2017","Standard Class","LC-16930","Linda Cazamias","Corporate","Naperville","Illinois","Central","TEC-PH-10004093","Technology","Phones",147.168,4,0.2,16.5564,17
"43",43,"CA-2016-101343","7/17/2016","7/22/2016","Standard Class","RA-19885","Ruben Ausman","Corporate","Los Angeles","California","West","OFF-ST-10003479","Office Supplies","Storage",77.88,2,0,3.894,6
"44",44,"CA-2017-139619","9/19/2017","9/23/2017","Standard Class","ES-14080","Erin Smith","Corporate","Melbourne","Florida","South","OFF-ST-10003282","Office Supplies","Storage",95.616,2,0.2,9.5616,12
"45",45,"CA-2016-118255","3/11/2016","3/13/2016","First Class","ON-18715","Odella Nelson","Corporate","Eagan","Minnesota","Central","TEC-AC-10000171","Technology","Accessories",45.98,2,0,19.7714,27
"46",46,"CA-2016-118255","3/11/2016","3/13/2016","First Class","ON-18715","Odella Nelson","Corporate","Eagan","Minnesota","Central","OFF-BI-10003291","Office Supplies","Binders",17.46,2,0,8.2062,27
"47",47,"CA-2014-146703","10/20/2014","10/25/2014","Second Class","PO-18865","Patrick O'Donnell","Consumer","Westland","Michigan","Central","OFF-ST-10001713","Office Supplies","Storage",211.96,4,0,8.4784,26
"48",48,"CA-2016-169194","6/20/2016","6/25/2016","Standard Class","LH-16900","Lena Hernandez","Consumer","Dover","Delaware","East","TEC-AC-10002167","Technology","Accessories",45,3,0,4.95,10
"49",49,"CA-2016-169194","6/20/2016","6/25/2016","Standard Class","LH-16900","Lena Hernandez","Consumer","Dover","Delaware","East","TEC-PH-10003988","Technology","Phones",21.8,2,0,6.104,10
"50",50,"CA-2015-115742","4/18/2015","4/22/2015","Standard Class","DP-13000","Darren Powers","Consumer","New Albany","Indiana","Central","OFF-BI-10004410","Office Supplies","Binders",38.22,6,0,17.9634,18
"51",51,"CA-2015-115742","4/18/2015","4/22/2015","Standard Class","DP-13000","Darren Powers","Consumer","New Albany","Indiana","Central","OFF-LA-10002762","Office Supplies","Labels",75.18,6,0,35.3346,18
"52",52,"CA-2015-115742","4/18/2015","4/22/2015","Standard Class","DP-13000","Darren Powers","Consumer","New Albany","Indiana","Central","FUR-FU-10001706","Furniture","Furnishings",6.16,2,0,2.9568,18
"53",53,"CA-2015-115742","4/18/2015","4/22/2015","Standard Class","DP-13000","Darren Powers","Consumer","New Albany","Indiana","Central","FUR-CH-10003061","Furniture","Chairs",89.99,1,0,17.0981,18
"54",54,"CA-2016-105816","12/11/2016","12/17/2016","Standard Class","JM-15265","Janet Molinari","Corporate","New York City","New York","East","OFF-FA-10000304","Office Supplies","Fasteners",15.26,7,0,6.2566,36
"55",55,"CA-2016-105816","12/11/2016","12/17/2016","Standard Class","JM-15265","Janet Molinari","Corporate","New York City","New York","East","TEC-PH-10002447","Technology","Phones",1029.95,5,0,298.6855,36
"56",56,"CA-2016-111682","6/17/2016","6/18/2016","First Class","TB-21055","Ted Butterfield","Consumer","Troy","New York","East","OFF-ST-10000604","Office Supplies","Storage",208.56,6,0,52.14,36
"57",57,"CA-2016-111682","6/17/2016","6/18/2016","First Class","TB-21055","Ted Butterfield","Consumer","Troy","New York","East","OFF-PA-10001569","Office Supplies","Paper",32.4,5,0,15.552,36
"58",58,"CA-2016-111682","6/17/2016","6/18/2016","First Class","TB-21055","Ted Butterfield","Consumer","Troy","New York","East","FUR-CH-10003968","Furniture","Chairs",319.41,5,0.1,7.098,36
"59",59,"CA-2016-111682","6/17/2016","6/18/2016","First Class","TB-21055","Ted Butterfield","Consumer","Troy","New York","East","OFF-PA-10000587","Office Supplies","Paper",14.56,2,0,6.9888,36
"60",60,"CA-2016-111682","6/17/2016","6/18/2016","First Class","TB-21055","Ted Butterfield","Consumer","Troy","New York","East","TEC-AC-10002167","Technology","Accessories",30,2,0,3.3,36
"61",61,"CA-2016-111682","6/17/2016","6/18/2016","First Class","TB-21055","Ted Butterfield","Consumer","Troy","New York","East","OFF-BI-10001460","Office Supplies","Binders",48.48,4,0.2,16.362,36
"62",62,"CA-2016-111682","6/17/2016","6/18/2016","First Class","TB-21055","Ted Butterfield","Consumer","Troy","New York","East","OFF-AR-10001868","Office Supplies","Art",1.68,1,0,0.84,36
"63",63,"CA-2015-135545","11/24/2015","11/30/2015","Standard Class","KM-16720","Kunst Miller","Consumer","Los Angeles","California","West","TEC-AC-10004633","Technology","Accessories",13.98,2,0,6.1512,6
"64",64,"CA-2015-135545","11/24/2015","11/30/2015","Standard Class","KM-16720","Kunst Miller","Consumer","Los Angeles","California","West","OFF-BI-10001078","Office Supplies","Binders",25.824,6,0.2,9.3612,6
"65",65,"CA-2015-135545","11/24/2015","11/30/2015","Standard Class","KM-16720","Kunst Miller","Consumer","Los Angeles","California","West","OFF-PA-10003892","Office Supplies","Paper",146.73,3,0,68.9631,6
"66",66,"CA-2015-135545","11/24/2015","11/30/2015","Standard Class","KM-16720","Kunst Miller","Consumer","Los Angeles","California","West","FUR-FU-10000397","Furniture","Furnishings",79.76,4,0,22.3328,6
"67",67,"US-2015-164175","4/30/2015","5/5/2015","Standard Class","PS-18970","Paul Stevenson","Home Office","Chicago","Illinois","Central","FUR-CH-10001146","Furniture","Chairs",213.115,5,0.3,-15.2225,17
"68",68,"CA-2014-106376","12/5/2014","12/10/2014","Standard Class","BS-11590","Brendan Sweed","Corporate","Gilbert","Arizona","West","OFF-AR-10002671","Office Supplies","Art",1113.024,8,0.2,111.3024,4
"69",69,"CA-2014-106376","12/5/2014","12/10/2014","Standard Class","BS-11590","Brendan Sweed","Corporate","Gilbert","Arizona","West","TEC-PH-10002726","Technology","Phones",167.968,4,0.2,62.988,4
"70",70,"CA-2016-119823","6/4/2016","6/6/2016","First Class","KD-16270","Karen Daniels","Consumer","Springfield","Virginia","South","OFF-PA-10000482","Office Supplies","Paper",75.88,2,0,35.6636,51
"71",71,"CA-2016-106075","9/18/2016","9/23/2016","Standard Class","HM-14980","Henry MacAllister","Consumer","New York City","New York","East","OFF-BI-10004654","Office Supplies","Binders",4.616,1,0.2,1.731,36
"72",72,"CA-2017-114440","9/14/2017","9/17/2017","Second Class","TB-21520","Tracy Blumstein","Consumer","Jackson","Michigan","Central","OFF-PA-10004675","Office Supplies","Paper",19.05,3,0,8.763,26
"73",73,"US-2015-134026","4/26/2015","5/2/2015","Standard Class","JE-15745","Joel Eaton","Consumer","Memphis","Tennessee","South","FUR-CH-10000513","Furniture","Chairs",831.936,8,0.2,-114.3912,47
"74",74,"US-2015-134026","4/26/2015","5/2/2015","Standard Class","JE-15745","Joel Eaton","Consumer","Memphis","Tennessee","South","FUR-FU-10003708","Furniture","Furnishings",97.04,2,0.2,1.213,47
"75",75,"US-2015-134026","4/26/2015","5/2/2015","Standard Class","JE-15745","Joel Eaton","Consumer","Memphis","Tennessee","South","OFF-ST-10004123","Office Supplies","Storage",72.784,1,0.2,-18.196,47
"76",76,"US-2017-118038","12/9/2017","12/11/2017","First Class","KB-16600","Ken Brennan","Corporate","Houston","Texas","Central","OFF-BI-10004182","Office Supplies","Binders",1.248,3,0.8,-1.9344,48
"77",77,"US-2017-118038","12/9/2017","12/11/2017","First Class","KB-16600","Ken Brennan","Corporate","Houston","Texas","Central","FUR-FU-10000260","Furniture","Furnishings",9.708,3,0.6,-5.8248,48
"78",78,"US-2017-118038","12/9/2017","12/11/2017","First Class","KB-16600","Ken Brennan","Corporate","Houston","Texas","Central","OFF-ST-10000615","Office Supplies","Storage",27.24,3,0.2,2.724,48
"79",79,"US-2014-147606","11/26/2014","12/1/2014","Second Class","JE-15745","Joel Eaton","Consumer","Houston","Texas","Central","FUR-FU-10003194","Furniture","Furnishings",19.3,5,0.6,-14.475,48
"80",80,"CA-2016-127208","6/12/2016","6/15/2016","First Class","SC-20770","Stewart Carmichael","Corporate","Decatur","Alabama","South","OFF-AP-10002118","Office Supplies","Appliances",208.16,1,0,56.2032,1
"81",81,"CA-2016-127208","6/12/2016","6/15/2016","First Class","SC-20770","Stewart Carmichael","Corporate","Decatur","Alabama","South","OFF-BI-10002309","Office Supplies","Binders",16.74,3,0,8.0352,1
"82",82,"CA-2014-139451","10/12/2014","10/16/2014","Standard Class","DN-13690","Duane Noonan","Consumer","San Francisco","California","West","OFF-AR-10002053","Office Supplies","Art",14.9,5,0,4.172,6
"83",83,"CA-2014-139451","10/12/2014","10/16/2014","Standard Class","DN-13690","Duane Noonan","Consumer","San Francisco","California","West","OFF-ST-10002370","Office Supplies","Storage",21.39,1,0,6.2031,6
"84",84,"CA-2015-149734","9/3/2015","9/8/2015","Standard Class","JC-16105","Julie Creighton","Corporate","Durham","North Carolina","South","OFF-EN-10000927","Office Supplies","Envelopes",200.984,7,0.2,62.8075,37
"85",85,"US-2017-119662","11/13/2017","11/16/2017","First Class","CS-12400","Christopher Schild","Home Office","Chicago","Illinois","Central","OFF-ST-10003656","Office Supplies","Storage",230.376,3,0.2,-48.9549,17
"86",86,"CA-2017-140088","5/28/2017","5/30/2017","Second Class","PO-18865","Patrick O'Donnell","Consumer","Columbia","South Carolina","South","FUR-CH-10000863","Furniture","Chairs",301.96,2,0,33.2156,45
"87",87,"CA-2017-155558","10/26/2017","11/2/2017","Standard Class","PG-18895","Paul Gonzalez","Consumer","Rochester","Minnesota","Central","TEC-AC-10001998","Technology","Accessories",19.99,1,0,6.7966,27
"88",88,"CA-2017-155558","10/26/2017","11/2/2017","Standard Class","PG-18895","Paul Gonzalez","Consumer","Rochester","Minnesota","Central","OFF-LA-10000134","Office Supplies","Labels",6.16,2,0,2.9568,27
"89",89,"CA-2016-159695","4/5/2016","4/10/2016","Second Class","GM-14455","Gary Mitchum","Home Office","Houston","Texas","Central","OFF-ST-10003442","Office Supplies","Storage",158.368,7,0.2,13.8572,48
"90",90,"CA-2016-109806","9/17/2016","9/22/2016","Standard Class","JS-15685","Jim Sink","Corporate","Los Angeles","California","West","OFF-AR-10004930","Office Supplies","Art",20.1,3,0,6.633,6
"91",91,"CA-2016-109806","9/17/2016","9/22/2016","Standard Class","JS-15685","Jim Sink","Corporate","Los Angeles","California","West","TEC-PH-10004093","Technology","Phones",73.584,2,0.2,8.2782,6
"92",92,"CA-2016-109806","9/17/2016","9/22/2016","Standard Class","JS-15685","Jim Sink","Corporate","Los Angeles","California","West","OFF-PA-10000304","Office Supplies","Paper",6.48,1,0,3.1104,6
"93",93,"CA-2015-149587","1/31/2015","2/5/2015","Second Class","KB-16315","Karl Braun","Consumer","Minneapolis","Minnesota","Central","OFF-PA-10003177","Office Supplies","Paper",12.96,2,0,6.2208,27
"94",94,"CA-2015-149587","1/31/2015","2/5/2015","Second Class","KB-16315","Karl Braun","Consumer","Minneapolis","Minnesota","Central","FUR-FU-10003799","Furniture","Furnishings",53.34,3,0,16.5354,27
"95",95,"CA-2015-149587","1/31/2015","2/5/2015","Second Class","KB-16315","Karl Braun","Consumer","Minneapolis","Minnesota","Central","OFF-BI-10002852","Office Supplies","Binders",32.96,2,0,16.1504,27
"96",96,"US-2017-109484","11/6/2017","11/12/2017","Standard Class","RB-19705","Roger Barcio","Home Office","Portland","Oregon","West","OFF-BI-10004738","Office Supplies","Binders",5.682,1,0.7,-3.788,41
"97",97,"CA-2017-161018","11/9/2017","11/11/2017","Second Class","PN-18775","Parhena Norris","Home Office","New York City","New York","East","FUR-FU-10000629","Furniture","Furnishings",96.53,7,0,40.5426,36
"98",98,"CA-2017-157833","6/17/2017","6/20/2017","First Class","KD-16345","Katherine Ducich","Consumer","San Francisco","California","West","OFF-BI-10001721","Office Supplies","Binders",51.312,3,0.2,17.9592,6
"99",99,"CA-2016-149223","9/6/2016","9/11/2016","Standard Class","ER-13855","Elpida Rittenbach","Corporate","Saint Paul","Minnesota","Central","OFF-AP-10000358","Office Supplies","Appliances",77.88,6,0,22.5852,27
"100",100,"CA-2016-158568","8/29/2016","9/2/2016","Standard Class","RB-19465","Rick Bensley","Home Office","Chicago","Illinois","Central","OFF-PA-10003256","Office Supplies","Paper",64.624,7,0.2,22.6184,17
"101",101,"CA-2016-158568","8/29/2016","9/2/2016","Standard Class","RB-19465","Rick Bensley","Home Office","Chicago","Illinois","Central","TEC-AC-10001767","Technology","Accessories",95.976,3,0.2,-10.7973,17
"102",102,"CA-2016-158568","8/29/2016","9/2/2016","Standard Class","RB-19465","Rick Bensley","Home Office","Chicago","Illinois","Central","OFF-BI-10002609","Office Supplies","Binders",1.788,3,0.8,-3.0396,17
"103",103,"CA-2016-129903","12/1/2016","12/4/2016","Second Class","GZ-14470","Gary Zandusky","Consumer","Rochester","Minnesota","Central","OFF-PA-10004040","Office Supplies","Paper",23.92,4,0,11.7208,27
"104",104,"US-2015-156867","11/13/2015","11/17/2015","Standard Class","LC-16870","Lena Cacioppo","Consumer","Aurora","Colorado","West","TEC-AC-10001552","Technology","Accessories",238.896,6,0.2,-26.8758,8
"105",105,"US-2015-156867","11/13/2015","11/17/2015","Standard Class","LC-16870","Lena Cacioppo","Consumer","Aurora","Colorado","West","FUR-FU-10004006","Furniture","Furnishings",102.36,3,0.2,-3.8385,8
"106",106,"US-2015-156867","11/13/2015","11/17/2015","Standard Class","LC-16870","Lena Cacioppo","Consumer","Aurora","Colorado","West","OFF-BI-10002794","Office Supplies","Binders",36.882,3,0.7,-25.8174,8
"107",107,"CA-2017-119004","11/23/2017","11/28/2017","Standard Class","JM-15250","Janet Martin","Consumer","Charlotte","North Carolina","South","TEC-AC-10003499","Technology","Accessories",74.112,8,0.2,17.6016,37
"108",108,"CA-2017-119004","11/23/2017","11/28/2017","Standard Class","JM-15250","Janet Martin","Consumer","Charlotte","North Carolina","South","TEC-PH-10002844","Technology","Phones",27.992,1,0.2,2.0994,37
"109",109,"CA-2017-119004","11/23/2017","11/28/2017","Standard Class","JM-15250","Janet Martin","Consumer","Charlotte","North Carolina","South","OFF-AR-10000390","Office Supplies","Art",3.304,1,0.2,1.0738,37
"110",110,"CA-2015-129476","10/15/2015","10/20/2015","Standard Class","PA-19060","Pete Armstrong","Home Office","Orland Park","Illinois","Central","TEC-AC-10000844","Technology","Accessories",339.96,5,0.2,67.992,17
"111",111,"CA-2017-146780","12/25/2017","12/30/2017","Standard Class","CV-12805","Cynthia Voltz","Corporate","New York City","New York","East","FUR-FU-10001934","Furniture","Furnishings",41.96,2,0,10.9096,36
"112",112,"CA-2016-128867","11/3/2016","11/10/2016","Standard Class","CL-12565","Clay Ludtke","Consumer","Urbandale","Iowa","Central","OFF-AR-10000380","Office Supplies","Art",75.96,2,0,22.788,19
"113",113,"CA-2016-128867","11/3/2016","11/10/2016","Standard Class","CL-12565","Clay Ludtke","Consumer","Urbandale","Iowa","Central","OFF-BI-10003981","Office Supplies","Binders",27.24,6,0,13.3476,19
"114",114,"CA-2014-115259","8/25/2014","8/27/2014","Second Class","RC-19960","Ryan Crowe","Consumer","Columbus","Ohio","East","OFF-FA-10000621","Office Supplies","Fasteners",40.096,14,0.2,14.5348,39
"115",115,"CA-2014-115259","8/25/2014","8/27/2014","Second Class","RC-19960","Ryan Crowe","Consumer","Columbus","Ohio","East","OFF-EN-10002600","Office Supplies","Envelopes",4.72,2,0.2,1.652,39
"116",116,"CA-2014-115259","8/25/2014","8/27/2014","Second Class","RC-19960","Ryan Crowe","Consumer","Columbus","Ohio","East","OFF-PA-10004965","Office Supplies","Paper",23.976,3,0.2,7.4925,39
"117",117,"CA-2014-115259","8/25/2014","8/27/2014","Second Class","RC-19960","Ryan Crowe","Consumer","Columbus","Ohio","East","OFF-EN-10002504","Office Supplies","Envelopes",130.464,6,0.2,44.0316,39
"118",118,"CA-2015-110457","3/2/2015","3/6/2015","Standard Class","DK-13090","Dave Kipp","Consumer","Seattle","Washington","West","FUR-TA-10001768","Furniture","Tables",787.53,3,0,165.3813,53
"119",119,"US-2015-136476","4/5/2015","4/10/2015","Standard Class","GG-14650","Greg Guthrie","Corporate","Bristol","Tennessee","South","OFF-BI-10003650","Office Supplies","Binders",157.794,1,0.7,-115.7156,47
"120",120,"CA-2016-103730","6/12/2016","6/15/2016","First Class","SC-20725","Steven Cartwright","Consumer","Wilmington","Delaware","East","FUR-FU-10002157","Furniture","Furnishings",47.04,3,0,18.3456,10
"121",121,"CA-2016-103730","6/12/2016","6/15/2016","First Class","SC-20725","Steven Cartwright","Consumer","Wilmington","Delaware","East","OFF-BI-10003910","Office Supplies","Binders",30.84,4,0,13.878,10
"122",122,"CA-2016-103730","6/12/2016","6/15/2016","First Class","SC-20725","Steven Cartwright","Consumer","Wilmington","Delaware","East","OFF-ST-10000777","Office Supplies","Storage",226.56,6,0,63.4368,10
"123",123,"CA-2016-103730","6/12/2016","6/15/2016","First Class","SC-20725","Steven Cartwright","Consumer","Wilmington","Delaware","East","OFF-EN-10002500","Office Supplies","Envelopes",115.02,9,0,51.759,10
"124",124,"CA-2016-103730","6/12/2016","6/15/2016","First Class","SC-20725","Steven Cartwright","Consumer","Wilmington","Delaware","East","TEC-PH-10003875","Technology","Phones",68.04,7,0,19.7316,10
"125",125,"US-2014-152030","12/26/2014","12/28/2014","Second Class","AD-10180","Alan Dominguez","Home Office","Houston","Texas","Central","FUR-CH-10004063","Furniture","Chairs",600.558,3,0.3,-8.5794,48
"126",126,"US-2014-134614","9/20/2014","9/25/2014","Standard Class","PF-19165","Philip Fox","Consumer","Bloomington","Illinois","Central","FUR-TA-10004534","Furniture","Tables",617.7,6,0.5,-407.682,17
"127",127,"US-2017-107272","11/5/2017","11/12/2017","Standard Class","TS-21610","Troy Staebel","Consumer","Phoenix","Arizona","West","OFF-BI-10003274","Office Supplies","Binders",2.388,2,0.7,-1.8308,4
"128",128,"US-2017-107272","11/5/2017","11/12/2017","Standard Class","TS-21610","Troy Staebel","Consumer","Phoenix","Arizona","West","OFF-ST-10002974","Office Supplies","Storage",243.992,7,0.2,30.499,4
"129",129,"US-2016-125969","11/6/2016","11/10/2016","Second Class","LS-16975","Lindsay Shagiari","Home Office","Los Angeles","California","West","FUR-CH-10001146","Furniture","Chairs",81.424,2,0.2,-9.1602,6
"130",130,"US-2016-125969","11/6/2016","11/10/2016","Second Class","LS-16975","Lindsay Shagiari","Home Office","Los Angeles","California","West","FUR-FU-10003773","Furniture","Furnishings",238.56,3,0,26.2416,6
"131",131,"US-2017-164147","2/2/2017","2/5/2017","First Class","DW-13585","Dorothy Wardle","Corporate","Columbus","Ohio","East","TEC-PH-10002293","Technology","Phones",59.97,5,0.4,-11.994,39
"132",132,"US-2017-164147","2/2/2017","2/5/2017","First Class","DW-13585","Dorothy Wardle","Corporate","Columbus","Ohio","East","OFF-PA-10002377","Office Supplies","Paper",78.304,2,0.2,29.364,39
"133",133,"US-2017-164147","2/2/2017","2/5/2017","First Class","DW-13585","Dorothy Wardle","Corporate","Columbus","Ohio","East","OFF-FA-10002780","Office Supplies","Fasteners",21.456,9,0.2,6.9732,39
